algorithm,scan,signal,op_channel,nic_channel,ssid,bssid,vendor,delayj,delayk,frame_type,kernel_time,jiffies,prequest
10,19,-67,-2,6,,5c:33:8e:55:5d:49,NA,7,0.00734900000043126,presponse,5358.211438,5058212,20
10,20,-73,6,6,SFR_9610,30:7e:cb:91:96:14,NA,4,0.00396999999975378,presponse,5398.733099,5098734,64
10,20,-76,-2,6,,5c:33:8e:55:5d:49,NA,11,0.0114229999999225,presponse,5398.740552,5098741,64
10,21,-70,6,6,Livebox-a972,5c:33:8e:ed:b7:7b,NA,4,0.00480000000061409,presponse,5439.499883,5139500,4
10,22,-76,6,6,FreeWifi,00:24:d4:d3:9e:31,NA,2,0.00272300000051473,presponse,5480.078821,5180079,44
10,22,-69,6,6,FREEBOX_NICOLAS_WD,00:24:d4:d3:9e:30,NA,4,0.00486500000079104,presponse,5480.080963,5180081,44
10,22,-70,-2,6,,00:19:70:ae:0e:de,NA,8,0.00841600000057952,presponse,5480.084514,5180085,44
10,24,-73,6,6,gcsapi,00:50:7f:5c:43:80,NA,3,0.00344399999994494,presponse,5701.929531,5401930,18
10,24,-48,6,6,gcsapi,00:50:7f:5c:43:80,NA,6,0.00601600000027247,presponse,5701.932103,5401933,18
10,24,-47,6,6,gcsapi,00:50:7f:5c:43:80,NA,8,0.00852699999995821,presponse,5701.934614,5401935,18
10,25,-73,-2,6,,5c:33:8e:d1:90:ba,NA,8,0.0081319999999323,presponse,5743.916228,5443917,68
10,26,-51,-2,6,,00:19:70:55:a8:fd,NA,8,0.00836799999979121,presponse,5784.976465,5484977,67
10,27,-76,-2,6,,00:19:70:9c:02:13,NA,8,0.00800299999991694,presponse,5826.112074,5526113,2
10,29,-77,6,6,HP-Print-40-Officejet Pro 8600,ec:9a:74:98:27:40,NA,2,0.00241499999992811,presponse,5911.288502,5611289,9
10,29,-75,6,6,Bbox-11D6CD,00:26:44:f9:b1:7f,NA,4,0.00434999999924912,presponse,5911.290437,5611291,9
10,30,-81,-2,6,,00:19:70:71:af:b4,NA,5,0.0052110000005996,presponse,5951.920296,5651921,37
10,32,-72,-2,1,,a6:15:ea:b9:3f:24,NA,15,0.01587599999948,presponse,6033.509961,5733510,38
10,32,-73,-2,1,,a6:15:ea:b9:3f:26,NA,18,0.0182070000000749,presponse,6033.512292,5733513,38
10,32,-73,-2,1,,a6:15:ea:b9:3f:26,NA,20,0.0206699999998818,presponse,6033.514755,5733515,38
10,33,-81,6,6,LCFRENNES,c8:d7:19:82:cf:39,NA,4,0.00448599999981525,presponse,6074.468545,5774469,19
10,33,-76,-2,6,,00:19:70:ae:97:0e,NA,10,0.0101569999997082,presponse,6074.474216,5774475,19
10,34,-81,-2,6,,c8:d7:19:82:cf:39,NA,5,0.0055080000001908,presponse,6115.931585,5815932,15
10,35,-78,6,6,Bbox-DAC1DD,00:19:70:80:14:69,NA,3,0.00330300000041461,presponse,6157.391394,5857392,41
10,36,-78,-2,6,,54:22:f8:0b:e8:55,NA,8,0.00829099999918981,presponse,6198.370378,5898371,48
10,38,-81,6,6,Bbox-47445E,00:26:44:f1:54:49,NA,3,0.00382400000034977,presponse,6279.853952,5979854,59
10,39,-74,6,6,Livebox-f90c,5c:33:8e:e4:71:29,NA,4,0.00470500000028551,presponse,6320.503867,6020504,6
10,39,-74,-2,6,,2c:39:96:2d:71:5a,NA,11,0.0116029999999228,presponse,6320.510765,6020511,6
10,40,-79,6,6,Livebox-300c,00:19:70:7b:ce:2d,NA,4,0.00466899999992165,presponse,6361.932734,6061933,30
10,42,-80,6,6,Bbox-F5E7D1,00:19:70:82:ea:16,NA,3,0.00370399999974325,presponse,6446.632825,6146633,36
10,42,-73,-2,6,,2c:e4:12:cd:24:60,NA,10,0.0101070000000618,presponse,6446.639228,6146640,36
10,44,-71,6,6,Livebox-9de0,5c:33:8e:10:66:ed,NA,3,0.0036019999997734,presponse,6626.688671,6326689,21
10,44,-70,6,6,Livebox-EB10,00:78:9e:92:eb:10,NA,7,0.00765500000034081,presponse,6626.692724,6326693,21
10,44,-51,-2,6,,2c:e4:12:ca:80:ac,NA,11,0.0118640000000596,presponse,6626.696933,6326697,21
10,45,-60,6,6,Livebox-a297,5c:33:8e:47:09:98,NA,4,0.00480700000025536,presponse,6669.224889,6369225,27
10,45,-74,-2,6,,30:7e:cb:74:ae:74,NA,12,0.0119720000002417,presponse,6669.232054,6369233,27
10,46,-77,6,6,SFR_AE70,30:7e:cb:74:ae:74,NA,4,0.00404600000001665,presponse,6710.520131,6410521,51
10,46,-76,6,6,SFR WiFi FON,ba:7e:cb:74:ae:75,NA,6,0.00639099999989412,presponse,6710.522476,6410523,51
10,46,-78,-2,6,,ba:7e:cb:74:ae:77,NA,8,0.00885299999936251,presponse,6710.524938,6410525,51
10,48,-74,-2,6,,30:7e:cb:74:ae:74,NA,5,0.005141999999978,presponse,6798.291241,6498292,58
10,50,-75,6,6,Livebox-14f4,5c:33:8e:0d:5d:4f,NA,5,0.00505100000009406,presponse,6882.747198,6582748,1
10,52,-82,6,6,Apple Network 67e591,b8:8d:12:67:e5:91,NA,3,0.00334099999963655,presponse,6971.107405,6671108,34
10,54,-76,-2,6,,5c:33:8e:10:80:96,NA,8,0.00864000000001397,presponse,7062.216729,6762217,10
10,55,-68,6,6,WIFI SALAUN,fc:fb:fb:03:da:68,NA,3,0.00351599999885366,presponse,9195.559655,8895560,3
10,55,-77,-2,6,,7c:03:d8:7c:98:e6,NA,11,0.0117580000005546,presponse,9195.567897,8895568,3
